"StartDate","Count","Class"
"01-01","2","L"
"01-06","3","L"
"01-11","4","M"
"01-16","5","M"
"01-21","5","M"
"01-26","4","M"
"01-31","4","M"
"02-05","3","L"
"02-10","1","L"
"02-15","2","L"
"02-20","4","M"
"02-25","4","M"
"03-02","3","L"
"03-07","3","L"
"03-12","3","L"
"03-17","3","L"
"03-22","4","M"
"03-27","4","M"
"04-01","4","M"
"04-06","3","L"
"04-11","3","L"
"04-16","3","L"
"04-21","4","M"
"04-26","3","L"
"05-01","2","L"
"05-06","1","L"
"05-11","1","L"
"05-16","1","L"
"05-21","1","L"
"05-26","0","L"
"05-31","2","L"
"06-05","2","L"
"06-10","0","L"
"06-15","1","L"
"06-20","2","L"
"06-25","2","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","1","L"
"07-20","1","L"
"07-25","0","L"
"07-30","1","L"
"08-04","0","L"
"08-09","1","L"
"08-14","2","L"
"08-19","1","L"
"08-24","2","L"
"08-29","1","L"
"09-03","2","L"
"09-08","2","L"
"09-13","2","L"
"09-18","0","L"
"09-23","3","L"
"09-28","2","L"
"10-03","1","L"
"10-08","2","L"
"10-13","3","L"
"10-18","4","M"
"10-23","2","L"
"10-28","4","M"
"11-02","4","M"
"11-07","2","L"
"11-12","3","L"
"11-17","2","L"
"11-22","1","L"
"11-27","5","M"
"12-02","3","L"
