"StartDate","Count","Class"
"01-01","5","M"
"01-06","4","M"
"01-11","5","M"
"01-16","7","H"
"01-21","7","H"
"01-26","7","H"
"01-31","6","M"
"02-05","7","H"
"02-10","7","H"
"02-15","8","H"
"02-20","8","H"
"02-25","8","H"
"03-02","9","H"
"03-07","10","H"
"03-12","7","H"
"03-17","5","M"
"03-22","4","M"
"03-27","3","L"
"04-01","4","M"
"04-06","3","L"
"04-11","3","L"
"04-16","2","L"
"04-21","0","L"
"04-26","1","L"
"05-01","1","L"
"05-06","0","L"
"05-11","0","L"
"05-16","0","L"
"05-21","0","L"
"05-26","2","L"
"05-31","2","L"
"06-05","1","L"
"06-10","1","L"
"06-15","0","L"
"06-20","0","L"
"06-25","0","L"
"06-30","0","L"
"07-05","1","L"
"07-10","0","L"
"07-15","1","L"
"07-20","1","L"
"07-25","0","L"
"07-30","0","L"
"08-04","1","L"
"08-09","1","L"
"08-14","1","L"
"08-19","1","L"
"08-24","1","L"
"08-29","1","L"
"09-03","0","L"
"09-08","1","L"
"09-13","1","L"
"09-18","1","L"
"09-23","2","L"
"09-28","1","L"
"10-03","1","L"
"10-08","2","L"
"10-13","3","L"
"10-18","4","M"
"10-23","3","L"
"10-28","4","M"
"11-02","6","M"
"11-07","5","M"
"11-12","7","H"
"11-17","4","M"
"11-22","4","M"
"11-27","8","H"
"12-02","6","M"
